Province/State,Country/Region,Lat,Long,12/31/2020,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,1/10/2021,1/11/2021,1/12/2021,1/13/2021,1/14/2021,1/15/2021,1/16/2021,1/17/2021,1/18/2021,1/19/2021
,Gabon,-0.8037,11.6094,9571,9571,9571,9571,9605,9605,9641,9641,9694,9694,9694,9740,9740,9819,9819,9899,9899,9899,10019,10019
,Gambia,13.4432,-15.3101,3797,3800,3800,3800,3800,3812,3812,3833,3838,3841,3857,3857,3876,3885,3893,3897,3897,3910,3933,3938
,Georgia,42.3154,43.3569,227420,228410,228752,229169,229763,232079,233879,235491,236028,238086,239229,239780,241637,243255,244612,245789,247025,247805,247915,249465
,Germany,51.165691,10.451526,1760520,1762637,1773540,1783896,1796216,1814565,1841228,1886561,1905638,1928462,1929410,1941116,1968326,1993892,2015235,2023828,2038645,2050129,2059382,2071615
,Ghana,7.9465,-1.0232,54771,54930,55064,55168,55168,55168,55168,55461,55461,55772,55772,56230,56421,56981,56981,56981,56981,57714,58065,58431
,Greece,39.0742,21.8243,138850,139447,139709,140099,140526,141453,142267,142777,143494,144293,144738,145179,146020,146688,147283,147860,148370,148607,148925,149462
,Grenada,12.1165,-61.679,127,127,127,127,127,127,127,127,127,127,127,132,132,132,132,139,139,139,139,139
,Guatemala,15.7835,-90.2308,138012,138236,138316,138475,138656,139419,140202,141074,142064,143127,143243,143243,144982,145986,146937,147560,148598,148888,149146,150277
,Guinea,9.9456,-9.6966,13722,13738,13784,13784,13799,13845,13845,13904,13904,13942,13942,13980,14025,14051,14051,14065,14098,14114,14165,14207
,Guinea-Bissau,11.8037,-15.1804,2452,2452,2452,2455,2455,2455,2455,2455,2455,2455,2478,2478,2478,2478,2478,2478,2478,2509,2509,2510
,Guyana,4.860416,-58.93018,6332,6348,6351,6358,6379,6407,6407,6469,6469,6541,6574,6588,6653,6696,6745,6805,6851,6908,6931,6950
,Haiti,18.9712,-72.2852,10015,10015,10077,10127,10127,10127,10127,10203,10241,10272,10272,10386,10415,10569,10635,10635,10681,10781,10907,10907
,Holy See,41.9029,12.4534,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
,Honduras,15.2,-86.2419,121827,122974,123144,123369,123398,123822,124899,125118,125557,126943,127945,128701,129805,131009,131963,132412,133507,134111,134938,136068
,Hungary,47.1625,19.5033,322514,325278,326688,327995,328851,329721,331768,334836,337743,340459,342237,343656,344352,345710,347636,349149,350587,351828,352703,353276
,Iceland,64.9631,-19.0208,5754,5754,5754,5754,5795,5811,5832,5845,5867,5880,5890,5898,5912,5935,5948,5956,5956,5956,5970,5970
,India,20.593684,78.96288,10266674,10286709,10323965,10340469,10356844,10374932,10395278,10413417,10413417,10450284,10466595,10479179,10495147,10512093,10527683,10542841,10557985,10571773,10581823,10595639
,Indonesia,-0.7893,113.9213,743198,751270,758473,765350,772103,779548,788402,797723,808340,818386,828026,836718,846765,858043,869600,882418,896642,907929,917015,927380
,Iran,32.427908,53.688046,1225142,1231429,1237474,1243434,1249507,1255620,1261903,1268263,1274514,1280438,1286406,1292614,1299022,1305339,1311810,1318295,1324395,1330411,1336217,1342134
,Iraq,33.223191,43.679291,595291,596193,597033,597774,598369,599126,599965,600755,601424,602331,602938,603739,604549,605416,606186,606991,607587,608232,609029,609852
,Ireland,53.1424,-7.6921,91779,93532,96926,101887,107997,113322,121154,127657,135884,140727,147613,152539,155591,159144,163057,166548,169780,172726,174843,176839
